"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","descriptor"
"true","false","[]","[]","[]","preload","0","5811","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","11835","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","17725","0.0-2.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","3","310819","0.0-3.0","1920x1080","10:50 10/10/2022","","","","","",""
"","","","","","survey-html-form","4","323872","0.0-4.0","1920x1080","","13050","{""age"":""21"",""gender"":""Female""}","","","",""
"","","","","","html-button-response","5","363879","0.0-5.0","1920x1080","","40006.80000001192","","<div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div><div class=""complex"">The study has five sections and will take about 45 minutes to complete.<br><br></div>","0","",""
"","","","","","call-function","6","363880","0.0-6.0","1920x1080","","","","","","",""
"","","","","","animation","7","372223","0.0-7.0","1920x1080","","8342.300000011921","63.36","img/314/4/1.5/bw/001.png","","","complex"
"","","","","","animation","8","380327","0.0-8.0","1920x1080","","8103.600000023842","71.96","img/314/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","9","386423","0.0-9.0","1920x1080","","6094.5","24.34","img/314/4.5/2/bw/001.png","","","complex"
"","","","","","animation","10","396383","0.0-10.0","1920x1080","","9959","19.58","img/238/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","11","400951","0.0-11.0","1920x1080","","4567.399999976158","65","img/117/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","12","405047","0.0-12.0","1920x1080","","4094.900000035763","55.29","img/117/4/2/bw/001.png","","","complex"
"","","","","","animation","13","409423","0.0-13.0","1920x1080","","4375.600000023842","94.58","img/314/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","14","412695","0.0-14.0","1920x1080","","3271","37.70","img/117/4/1/bw/001.png","","","complex"
"","","","","","animation","15","421263","0.0-15.0","1920x1080","","8567.099999964237","62","img/314/3.5/1/bw/001.png","","","complex"
"","","","","","animation","16","424958","0.0-16.0","1920x1080","","3695.300000011921","7","img/117/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","17","428254","0.0-17.0","1920x1080","","3295","22.22","img/117/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","18","431959","0.0-18.0","1920x1080","","3703.5","95","img/117/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","19","438070","0.0-19.0","1920x1080","","6111","85.85","img/117/2.5/2/bw/001.png","","","complex"
"","","","","","animation","20","442870","0.0-20.0","1920x1080","","4798.5","23.68","img/314/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","21","448894","0.0-21.0","1920x1080","","6023.099999964237","28.04","img/117/4/1.5/bw/001.png","","","complex"
"","","","","","animation","22","455127","0.0-22.0","1920x1080","","6231.699999988079","12","img/117/5.5/1/bw/001.png","","","complex"
"","","","","","animation","23","459318","0.0-23.0","1920x1080","","4187.699999988079","5.95","img/314/5.5/2/bw/001.png","","","complex"
"","","","","","animation","24","465286","0.0-24.0","1920x1080","","5967.899999976158","20.63","img/238/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","25","469998","0.0-25.0","1920x1080","","4710.899999976158","11.11","img/238/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","26","473902","0.0-26.0","1920x1080","","3899.7999999523163","86","img/117/2.5/1/bw/001.png","","","complex"
"","","","","","animation","27","478534","0.0-27.0","1920x1080","","4631.600000023842","33","img/314/4.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","28","485565","0.0-28.0","1920x1080","","7030.5","27","img/238/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","29","489943","0.0-29.0","1920x1080","","4376.900000035763","72.75","img/117/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","30","493165","0.0-30.0","1920x1080","","3221.400000035763","63.10","img/314/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","31","496485","0.0-31.0","1920x1080","","3319.5","97","img/238/2.5/1/bw/001.png","","","complex"
"","","","","","animation","32","502485","0.0-32.0","1920x1080","","5998.600000023842","25","img/314/4/2/bw/001.png","","","complex"
"","","","","","animation","33","506837","0.0-33.0","1920x1080","","4351.399999976158","5.42","img/238/5.5/2/bw/001.png","","","complex"
"","","","","","animation","34","509949","0.0-34.0","1920x1080","","3111.699999988079","22","img/117/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","35","514189","0.0-35.0","1920x1080","","4239.399999976158","88.89","img/238/2.5/2/bw/001.png","","","complex"
"","","","","","animation","36","519749","0.0-36.0","1920x1080","","5559","29","img/314/4/1/bw/001.png","","","complex"
"","","","","","animation","37","532181","0.0-37.0","1920x1080","","12430.899999976158","46","img/314/4/0.5/bw/001.png","","","complex"
"","","","","","animation","38","537197","0.0-38.0","1920x1080","","5014.800000011921","83","img/314/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","39","543133","0.0-39.0","1920x1080","","5935","87","img/117/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","40","548394","0.0-40.0","1920x1080","","5261.199999988079","19","img/314/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","41","552210","0.0-41.0","1920x1080","","3815.100000023842","14","img/238/5.5/1/bw/001.png","","","complex"
"","","","","","animation","42","554834","0.0-42.0","1920x1080","","2623.600000023842","96","img/238/2.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","43","559355","0.0-43.0","1920x1080","","4520.400000035763","30.16","img/238/4/2/bw/001.png","","","complex"
"","","","","","animation","44","563307","0.0-44.0","1920x1080","","3950.5","96","img/314/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","45","568218","0.0-45.0","1920x1080","","4910.199999988079","39.02","img/238/4/0.5/bw/001.png","","","complex"
"","","","","","animation","46","571570","0.0-46.0","1920x1080","","3351.199999988079","92.46","img/314/2.5/2/bw/001.png","","","complex"
"","","","","","animation","47","577282","0.0-47.0","1920x1080","","5711","75","img/238/3.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","48","580489","0.0-48.0","1920x1080","","3206.600000023842","11.24","img/117/5.5/2/bw/001.png","","","complex"
"","","","","","animation","49","582956","0.0-49.0","1920x1080","","2465.800000011921","30.29","img/238/4.5/2/bw/001.png","","","complex"
"","","","","","animation","50","588682","0.0-50.0","1920x1080","","5725","42","img/314/4/0.66667/bw/001.png","","","complex"
"","","","","","animation","51","593602","0.0-51.0","1920x1080","","4919.100000023842","95","img/238/2.5/0.5/bw/001.png","","","complex"
"","","","","","animation","52","596482","0.0-52.0","1920x1080","","2878.699999988079","35","img/117/4.5/2/bw/001.png","","","complex"
"","","","","","animation","53","599441","0.0-53.0","1920x1080","","2958.400000035763","10.19","img/314/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","54","602178","0.0-54.0","1920x1080","","2735.399999976158","38.10","img/238/4.5/1/bw/001.png","","","complex"
"","","","","","animation","55","605927","0.0-55.0","1920x1080","","3744.699999988079","43.39","img/238/4/1/bw/001.png","","","complex"
"","","","","","animation","56","608478","0.0-56.0","1920x1080","","2550.100000023842","67.59","img/117/4/0.5/bw/001.png","","","complex"
"","","","","","animation","57","612765","0.0-57.0","1920x1080","","4286.300000011921","17","img/238/5.5/1.5/bw/001.png","","","complex"
"","","","","","animation","58","615589","0.0-58.0","1920x1080","","2823.399999976158","29","img/117/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","59","620453","0.0-59.0","1920x1080","","4863.099999964237","30","img/238/4.5/0.5/bw/001.png","","","complex"
"","","","","","animation","60","622845","0.0-60.0","1920x1080","","2390.900000035763","19.05","img/238/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","61","625694","0.0-61.0","1920x1080","","2845.2000000476837","26.98","img/117/5.5/0.5/bw/001.png","","","complex"
"","","","","","animation","62","632301","0.0-62.0","1920x1080","","6606.5","61","img/238/3.5/1/bw/001.png","","","complex"
"","","","","","animation","63","635181","0.0-63.0","1920x1080","","2879","55","img/314/3.5/2/bw/001.png","","","complex"
"","","","","","animation","64","641286","0.0-64.0","1920x1080","","6103.099999964237","18.12","img/314/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","65","649045","0.0-65.0","1920x1080","","7758.5","20","img/238/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","66","651797","0.0-66.0","1920x1080","","2751","82.14","img/314/2.5/1/bw/001.png","","","complex"
"","","","","","animation","67","654377","0.0-67.0","1920x1080","","2578.600000023842","82.01","img/238/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","68","659895","0.0-68.0","1920x1080","","5517","33","img/117/5.5/0.66667/bw/001.png","","","complex"
"","","","","","animation","69","662501","0.0-69.0","1920x1080","","2605.199999988079","31.88","img/238/4/1.5/bw/001.png","","","complex"
"","","","","","animation","70","667013","0.0-70.0","1920x1080","","4511","30.29","img/314/4.5/1.5/bw/001.png","","","complex"
"","","","","","animation","71","669365","0.0-71.0","1920x1080","","2351.099999964237","34.92","img/117/4.5/1/bw/001.png","","","complex"
"","","","","","animation","72","674628","0.0-72.0","1920x1080","","5262.899999976158","62.43","img/117/3.5/1/bw/001.png","","","complex"
"","","","","","animation","73","676805","0.0-73.0","1920x1080","","2175.699999988079","59.79","img/117/3.5/1.5/bw/001.png","","","complex"
"","","","","","animation","74","678701","0.0-74.0","1920x1080","","1895.199999988079","58.86","img/117/3.5/2/bw/001.png","","","complex"
"","","","","","animation","75","680869","0.0-75.0","1920x1080","","2167.100000023842","59.13","img/238/3.5/2/bw/001.png","","","complex"
"","","","","","animation","76","686765","0.0-76.0","1920x1080","","5895.100000023842","19","img/314/5.5/1/bw/001.png","","","complex"
"","","","","","animation","77","692549","0.0-77.0","1920x1080","","5782.5","70","img/238/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","78","694893","0.0-78.0","1920x1080","","2342.600000023842","83","img/117/2.5/1.5/bw/001.png","","","complex"
"","","","","","animation","79","698221","0.0-79.0","1920x1080","","3327.100000023842","38.23","img/314/4.5/1/bw/001.png","","","complex"
"","","","","","animation","80","700829","0.0-80.0","1920x1080","","2607","65.34","img/314/3.5/0.5/bw/001.png","","","complex"
"","","","","","animation","81","703516","0.0-81.0","1920x1080","","2687","84.66","img/117/2.5/0.66667/bw/001.png","","","complex"
"","","","","","html-button-response","82","724809","0.0-82.0","1920x1080","","21287.69999998808","","<div class=""intro"">You are about to view a new series of animations.<br><br></div><div class=""intro"">You will evaluate them based on a different descriptor.<br><br></div><div class=""intro"">Move the slider to indicate how <strong style=""text-transform:capitalize"">RELAXING</strong> you find each animation.<br><br></div><div class=""intro"">0 = Least Relaxing<br></div><div class=""intro"">1 = Most Relaxing<br><br></div><div class=""intro"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""intro"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div>","0","",""
"","","","","","call-function","83","724810","0.0-83.0","1920x1080","","","","","","",""
"","","","","","animation","84","731568","0.0-84.0","1920x1080","","6757.300000011921","34.92","img/314/4.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","85","742163","0.0-85.0","1920x1080","","10593.5","35","img/238/4/1/bw/001.png","","","relaxing"
"","","","","","animation","86","747608","0.0-86.0","1920x1080","","5442.900000035763","61.51","img/117/4.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","87","751808","0.0-87.0","1920x1080","","4198.800000011921","36.51","img/314/4/2/bw/001.png","","","relaxing"
"","","","","","animation","88","758248","0.0-88.0","1920x1080","","6438.199999988079","82.01","img/314/5.5/2/bw/001.png","","","relaxing"
"","","","","","animation","89","762448","0.0-89.0","1920x1080","","4198.800000011921","38.36","img/238/4/2/bw/001.png","","","relaxing"
"","","","","","animation","90","765632","0.0-90.0","1920x1080","","3183.300000011921","16.14","img/314/4/0.5/bw/001.png","","","relaxing"
"","","","","","animation","91","768136","0.0-91.0","1920x1080","","2503.399999976158","2.25","img/117/2.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","92","774456","0.0-92.0","1920x1080","","6319.200000047684","41.14","img/238/4.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","93","778032","0.0-93.0","1920x1080","","3574.5","37.83","img/314/4.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","94","781979","0.0-94.0","1920x1080","","3946.899999976158","72.75","img/117/5.5/1/bw/001.png","","","relaxing"
"","","","","","animation","95","784659","0.0-95.0","1920x1080","","2683.300000011921","3.04","img/238/2.5/1/bw/001.png","","","relaxing"
"","","","","","animation","96","787125","0.0-96.0","1920x1080","","2465.300000011921","3.44","img/117/2.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","97","790252","0.0-97.0","1920x1080","","3125.199999988079","18.25","img/117/4/2/bw/001.png","","","relaxing"
"","","","","","animation","98","793407","0.0-98.0","1920x1080","","3154.800000011921","6.08","img/238/3.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","99","801020","0.0-99.0","1920x1080","","7611.199999988079","39","img/238/4.5/1/bw/001.png","","","relaxing"
"","","","","","animation","100","803300","0.0-100.0","1920x1080","","2279.100000023842","16.40","img/117/4/0.5/bw/001.png","","","relaxing"
"","","","","","animation","101","811043","0.0-101.0","1920x1080","","7742.400000035763","83","img/117/5.5/2/bw/001.png","","","relaxing"
"","","","","","animation","102","817875","0.0-102.0","1920x1080","","6831","30.42","img/238/4.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","103","822500","0.0-103.0","1920x1080","","4622.5","68.65","img/314/4.5/2/bw/001.png","","","relaxing"
"","","","","","animation","104","825190","0.0-104.0","1920x1080","","2689.600000023842","26.85","img/314/3.5/2/bw/001.png","","","relaxing"
"","","","","","animation","105","827620","0.0-105.0","1920x1080","","2428.5","24.34","img/117/3.5/2/bw/001.png","","","relaxing"
"","","","","","animation","106","830563","0.0-106.0","1920x1080","","2942.5","22.35","img/117/3.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","107","834475","0.0-107.0","1920x1080","","3910.5","76.72","img/117/5.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","108","837292","0.0-108.0","1920x1080","","2816.199999988079","20.63","img/314/3.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","109","840359","0.0-109.0","1920x1080","","3065.400000035763","8.20","img/314/2.5/1/bw/001.png","","","relaxing"
"","","","","","animation","110","842509","0.0-110.0","1920x1080","","2148.400000035763","4","img/238/2.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","111","846235","0.0-111.0","1920x1080","","3725.600000023842","77.78","img/238/5.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","112","848963","0.0-112.0","1920x1080","","2726.899999976158","17.99","img/314/3.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","113","851173","0.0-113.0","1920x1080","","2209.199999988079","13.62","img/117/3.5/1/bw/001.png","","","relaxing"
"","","","","","animation","114","853390","0.0-114.0","1920x1080","","2216.199999988079","13.49","img/314/3.5/1/bw/001.png","","","relaxing"
"","","","","","animation","115","858963","0.0-115.0","1920x1080","","5572.100000023842","25","img/314/4/1.5/bw/001.png","","","relaxing"
"","","","","","animation","116","863531","0.0-116.0","1920x1080","","4566.899999976158","25.26","img/238/4.5/2/bw/001.png","","","relaxing"
"","","","","","animation","117","879483","0.0-117.0","1920x1080","","15950.599999964237","74","img/117/5.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","118","883995","0.0-118.0","1920x1080","","4507.800000011921","27.38","img/314/3.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","119","886675","0.0-119.0","1920x1080","","2678.600000023842","4.89","img/238/2.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","120","892195","0.0-120.0","1920x1080","","5519.5","86.77","img/314/5.5/1/bw/001.png","","","relaxing"
"","","","","","animation","121","894947","0.0-121.0","1920x1080","","2751","5.56","img/238/2.5/2/bw/001.png","","","relaxing"
"","","","","","animation","122","898059","0.0-122.0","1920x1080","","3110.5","22.09","img/117/4.5/2/bw/001.png","","","relaxing"
"","","","","","animation","123","902259","0.0-123.0","1920x1080","","4199","37.43","img/238/4.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","124","906120","0.0-124.0","1920x1080","","3855.600000023842","82.14","img/314/5.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","125","908568","0.0-125.0","1920x1080","","2447","4.63","img/117/2.5/1/bw/001.png","","","relaxing"
"","","","","","animation","126","912568","0.0-126.0","1920x1080","","3998.800000011921","21.56","img/314/4/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","127","914688","0.0-127.0","1920x1080","","2119.099999964237","16.93","img/117/4/1.5/bw/001.png","","","relaxing"
"","","","","","animation","128","918136","0.0-128.0","1920x1080","","3447.100000023842","17.06","img/117/4/1/bw/001.png","","","relaxing"
"","","","","","animation","129","920745","0.0-129.0","1920x1080","","2608.199999988079","11.24","img/117/3.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","130","922864","0.0-130.0","1920x1080","","2117.399999976158","2","img/238/2.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","131","929920","0.0-131.0","1920x1080","","7055.5","88.89","img/238/5.5/1/bw/001.png","","","relaxing"
"","","","","","animation","132","932536","0.0-132.0","1920x1080","","2615.199999988079","38.76","img/117/4.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","133","936000","0.0-133.0","1920x1080","","3463","87.57","img/314/5.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","134","938664","0.0-134.0","1920x1080","","2662.199999988079","33.07","img/117/4.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","135","941313","0.0-135.0","1920x1080","","2648.600000023842","81.08","img/314/5.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","136","947040","0.0-136.0","1920x1080","","5725.599999964237","93","img/238/5.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","137","950168","0.0-137.0","1920x1080","","3127","5.42","img/117/2.5/2/bw/001.png","","","relaxing"
"","","","","","animation","138","954628","0.0-138.0","1920x1080","","4458.900000035763","85.45","img/238/5.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","139","958128","0.0-139.0","1920x1080","","3498.800000011921","29.10","img/314/4/1/bw/001.png","","","relaxing"
"","","","","","animation","140","960796","0.0-140.0","1920x1080","","2667.400000035763","18.25","img/238/4/0.5/bw/001.png","","","relaxing"
"","","","","","animation","141","963545","0.0-141.0","1920x1080","","2748.099999964237","36.38","img/238/4/1.5/bw/001.png","","","relaxing"
"","","","","","animation","142","965562","0.0-142.0","1920x1080","","2016.5999999642372","22.09","img/238/3.5/1/bw/001.png","","","relaxing"
"","","","","","animation","143","968456","0.0-143.0","1920x1080","","2892.600000023842","6.22","img/314/2.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","144","970704","0.0-144.0","1920x1080","","2246.899999976158","21.30","img/238/3.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","145","978395","0.0-145.0","1920x1080","","7690.100000023842","40","img/238/3.5/2/bw/001.png","","","relaxing"
"","","","","","animation","146","980799","0.0-146.0","1920x1080","","2403.599999964237","12.70","img/314/2.5/2/bw/001.png","","","relaxing"
"","","","","","animation","147","984612","0.0-147.0","1920x1080","","3811.199999988079","67.20","img/314/4.5/1.5/bw/001.png","","","relaxing"
"","","","","","animation","148","987456","0.0-148.0","1920x1080","","2843.199999988079","67.99","img/117/5.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","149","990479","0.0-149.0","1920x1080","","3022.399999976158","19.31","img/117/3.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","150","993456","0.0-150.0","1920x1080","","2975.600000023842","33.47","img/117/4.5/1/bw/001.png","","","relaxing"
"","","","","","animation","151","995815","0.0-151.0","1920x1080","","2358.5","37.04","img/314/4.5/1/bw/001.png","","","relaxing"
"","","","","","animation","152","998215","0.0-152.0","1920x1080","","2399.099999964237","-1.59","img/314/2.5/0.5/bw/001.png","","","relaxing"
"","","","","","animation","153","1004361","0.0-153.0","1920x1080","","6145.199999988079","15","img/238/3.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","154","1006616","0.0-154.0","1920x1080","","2253.199999988079","-5.29","img/314/2.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","155","1009345","0.0-155.0","1920x1080","","2727.7999999523163","16.01","img/238/4/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","156","1012616","0.0-156.0","1920x1080","","3270","0","img/117/2.5/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","157","1015079","0.0-157.0","1920x1080","","2462.900000035763","21.56","img/117/4/0.66667/bw/001.png","","","relaxing"
"","","","","","animation","158","1018431","0.0-158.0","1920x1080","","3350.600000023842","91.14","img/238/5.5/2/bw/001.png","","","relaxing"
"","","","","","html-button-response","159","1051638","0.0-159.0","1920x1080","","33199","","<div class=""intro"">You are about to view a new series of animations.<br><br></div><div class=""intro"">You will evaluate them based on a different descriptor.<br><br></div><div class=""intro"">Move the slider to indicate how <strong style=""text-transform:capitalize"">INTERESTING</strong> you find each animation.<br><br></div><div class=""intro"">0 = Least Interesting<br></div><div class=""intro"">1 = Most Interesting<br><br></div><div class=""intro"">Remember to use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""intro"">Please <strong><em>take your time</em></strong> and carefully consider each rating you make.<br><br></div>","0","",""
"","","","","","call-function","160","1051642","0.0-160.0","1920x1080","","","","","","",""
"","","","","","animation","161","1057325","0.0-161.0","1920x1080","","5682.099999964237","32","img/238/4.5/1.5/bw/001.png","","","interesting"
"","","","","","animation","162","1067800","0.0-162.0","1920x1080","","10473.699999988079","62.30","img/314/4.5/2/bw/001.png","","","interesting"
"","","","","","animation","163","1082725","0.0-163.0","1920x1080","","14924.699999988079","71.30","img/117/5.5/0.66667/bw/001.png","","","interesting"
"","","","","","animation","164","1086578","0.0-164.0","1920x1080","","3858.5","29.76","img/117/2.5/1/bw/001.png","","","interesting"
"","","","","","animation","165","1090702","0.0-165.0","1920x1080","","4122.800000011921","24.34","img/117/4/0.5/bw/001.png","","","interesting"
"","","","","","animation","166","1098243","0.0-166.0","1920x1080","","7539.899999976158","65.74","img/314/5.5/1/bw/001.png","","","interesting"
"","","","","","animation","167","1101302","0.0-167.0","1920x1080","","3057.899999976158","38.49","img/117/3.5/2/bw/001.png","","","interesting"
"","","","","","animation","168","1103999","0.0-168.0","1920x1080","","2695.399999976158","33.47","img/314/4/1.5/bw/001.png","","","interesting"
"","","","","","animation","169","1107567","0.0-169.0","1920x1080","","3566.699999988079","69.97","img/314/5.5/1.5/bw/001.png","","","interesting"
"","","","","","animation","170","1111583","0.0-170.0","1920x1080","","4015.100000023842","81.35","img/314/2.5/1/bw/001.png","","","interesting"
"","","","","","animation","171","1117944","0.0-171.0","1920x1080","","6358.5","68.52","img/238/5.5/2/bw/001.png","","","interesting"
"","","","","","animation","172","1122367","0.0-172.0","1920x1080","","4421.800000011921","65.87","img/314/3.5/0.66667/bw/001.png","","","interesting"
"","","","","","animation","173","1126782","0.0-173.0","1920x1080","","4414.599999964237","69.97","img/117/3.5/0.5/bw/001.png","","","interesting"
"","","","","","animation","174","1131060","0.0-174.0","1920x1080","","4273.699999988079","78.44","img/117/5.5/1.5/bw/001.png","","","interesting"
"","","","","","animation","175","1138319","0.0-175.0","1920x1080","","7256.899999976158","37.57","img/314/4/1/bw/001.png","","","interesting"
"","","","","","animation","176","1147213","0.0-176.0","1920x1080","","8894.199999988079","74","img/117/4.5/1.5/bw/001.png","","","interesting"
"","","","","","animation","177","1152975","0.0-177.0","1920x1080","","5761.199999988079","33.73","img/117/3.5/0.66667/bw/001.png","","","interesting"
"","","","","","animation","178","1155797","0.0-178.0","1920x1080","","2820.899999976158","35.19","img/238/4/1.5/bw/001.png","","","interesting"
"","","","","","animation","179","1158885","0.0-179.0","1920x1080","","3087.100000023842","31.35","img/117/3.5/1/bw/001.png","","","interesting"
"","","","","","animation","180","1161749","0.0-180.0","1920x1080","","2859.600000023842","65.34","img/314/4.5/0.5/bw/001.png","","","interesting"
"","","","","","animation","181","1166058","0.0-181.0","1920x1080","","4308.100000023842","38.62","img/238/3.5/1/bw/001.png","","","interesting"
"","","","","","animation","182","1169175","0.0-182.0","1920x1080","","3115.899999976158","14.15","img/238/2.5/1.5/bw/001.png","","","interesting"
"","","","","","animation","183","1178461","0.0-183.0","1920x1080","","9284.100000023842","21","img/314/4/2/bw/001.png","","","interesting"
"","","","","","animation","184","1183501","0.0-184.0","1920x1080","","5039.300000011921","75.13","img/238/2.5/2/bw/001.png","","","interesting"
"","","","","","animation","185","1188625","0.0-185.0","1920x1080","","5122.699999988079","15.34","img/117/2.5/0.66667/bw/001.png","","","interesting"
"","","","","","animation","186","1198701","0.0-186.0","1920x1080","","10074.600000023842","66","img/314/4.5/1/bw/001.png","","","interesting"
"","","","","","animation","187","1204346","0.0-187.0","1920x1080","","5639.199999988079","36.51","img/238/4.5/2/bw/001.png","","","interesting"
"","","","","","animation","188","1208865","0.0-188.0","1920x1080","","4517.400000035763","86.24","img/314/5.5/0.5/bw/001.png","","","interesting"
"","","","","","animation","189","1213690","0.0-189.0","1920x1080","","4823.200000047684","34.52","img/117/3.5/1.5/bw/001.png","","","interesting"
"","","","","","animation","190","1217418","0.0-190.0","1920x1080","","3726.7999999523163","6.22","img/238/2.5/0.5/bw/001.png","","","interesting"
"","","","","","animation","191","1219649","0.0-191.0","1920x1080","","2230.600000023842","12.30","img/238/2.5/1/bw/001.png","","","interesting"
"","","","","","animation","192","1225680","0.0-192.0","1920x1080","","6030.300000011921","20.11","img/117/4/1/bw/001.png","","","interesting"
"","","","","","animation","193","1228548","0.0-193.0","1920x1080","","2865.300000011921","12.43","img/314/3.5/0.5/bw/001.png","","","interesting"
"","","","","","animation","194","1232217","0.0-194.0","1920x1080","","3668.300000011921","7.01","img/117/2.5/0.5/bw/001.png","","","interesting"
"","","","","","animation","195","1235065","0.0-195.0","1920x1080","","2846.699999988079","5.29","img/314/2.5/0.5/bw/001.png","","","interesting"
"","","","","","animation","196","1239647","0.0-196.0","1920x1080","","4579.799999952316","63.89","img/117/2.5/2/bw/001.png","","","interesting"
"","","","","","animation","197","1243938","0.0-197.0","1920x1080","","4290","65.34","img/314/4.5/0.66667/bw/001.png","","","interesting"
"","","","","","animation","198","1247306","0.0-198.0","1920x1080","","3366.7000000476837","32.67","img/117/4/1.5/bw/001.png","","","interesting"
"","","","","","animation","199","1250570","0.0-199.0","1920x1080","","3262.400000035763","30.56","img/314/3.5/1.5/bw/001.png","","","interesting"
"","","","","","animation","200","1253497","0.0-200.0","1920x1080","","2926.300000011921","8.73","img/238/2.5/0.66667/bw/001.png","","","interesting"
"","","","","","animation","201","1257379","0.0-201.0","1920x1080","","3880.800000011921","30.42","img/238/3.5/1.5/bw/001.png","","","interesting"
"","","","","","animation","202","1261880","0.0-202.0","1920x1080","","4499.300000011921","63.49","img/117/4.5/1/bw/001.png","","","interesting"
"","","","","","animation","203","1266246","0.0-203.0","1920x1080","","4365.099999964237","26","img/238/3.5/0.66667/bw/001.png","","","interesting"
"","","","","","animation","204","1273846","0.0-204.0","1920x1080","","7599","74.47","img/238/5.5/1/bw/001.png","","","interesting"
"","","","","","animation","205","1277479","0.0-205.0","1920x1080","","3630.899999976158","80.56","img/314/5.5/0.66667/bw/001.png","","","interesting"
